24,24,26,26,17,-2,-17,2
24,25,26,25,17,-1,-17,1
24,26,26,24,17,0,-17,0
24,27,26,23,17,1,-17,-1
24,28,26,22,17,2,-17,-2
24,29,26,21,17,3,-17,-3
24,30,26,20,17,4,-17,-4
23,30,27,20,16,4,-16,-4
22,30,28,20,15,4,-15,-4
21,30,29,20,14,4,-14,-4
20,30,30,20,13,4,-13,-4
19,30,31,20,12,4,-12,-4
18,30,32,20,11,4,-11,-4
17,30,33,20,10,4,-10,-4
16,30,34,20,9,4,-9,-4
15,30,35,20,8,4,-8,-4
14,30,36,20,7,4,-7,-4
13,30,37,20,6,4,-6,-4
12,30,38,20,5,4,-5,-4
11,30,39,20,4,4,-4,-4
10,30,40,20,3,4,-3,-4
9,30,41,20,2,4,-2,-4
8,30,42,20,1,4,-1,-4
7,30,43,20,0,4,0,-4
7,29,43,21,0,3,0,-3
7,28,43,22,0,2,0,-2
7,27,43,23,0,1,0,-1
7,26,43,24,-5,-7,5,7
7,25,43,25,-5,-8,5,8
7,24,43,26,-5,-9,5,9
7,23,43,27,-5,-10,5,10
8,23,42,27,-4,-10,4,10
9,23,41,27,-3,-10,3,10
10,23,40,27,-2,-10,2,10
11,23,39,27,-1,-10,1,10
12,23,38,27,0,-10,0,10
13,23,37,27,1,-10,-1,10
13,24,37,26,1,-9,-1,9
13,25,37,25,1,-8,-1,8
13,26,37,24,1,-7,-1,7
13,27,37,23,1,-6,-1,6
13,28,37,22,1,-5,-1,5
13,29,37,21,1,-4,-1,4
12,29,38,21,0,-4,0,4
12,30,38,20,0,-3,0,3
12,31,38,19,0,-2,0,2
12,32,38,18,0,-1,0,1
12,33,38,17,-15,31,15,-31
12,34,38,16,-15,32,15,-32
12,35,38,15,-15,33,15,-33
12,36,38,14,-15,34,15,-34
13,36,37,14,-14,34,14,-34
14,36,36,14,-13,34,13,-34
15,36,35,14,-12,34,12,-34
16,36,34,14,-11,34,11,-34
17,36,33,14,-10,34,10,-34
18,36,32,14,-9,34,9,-34
19,36,31,14,-8,34,8,-34
20,36,30,14,-7,34,7,-34
21,36,29,14,-6,34,6,-34
22,36,28,14,-5,34,5,-34
23,36,27,14,-4,34,4,-34
24,36,26,14,-3,34,3,-34
25,36,25,14,-2,34,2,-34
26,36,24,14,-1,34,1,-34
27,36,23,14,0,34,0,-34
28,36,22,14,1,34,-1,-34
28,35,22,15,1,33,-1,-33
28,34,22,16,1,32,-1,-32
28,33,22,17,1,31,-1,-31
28,32,22,18,1,30,-1,-30
28,31,22,19,1,29,-1,-29
28,30,22,20,1,28,-1,-28
28,29,22,21,1,27,-1,-27
28,28,22,22,1,26,-1,-26
28,27,22,23,1,25,-1,-25
28,26,22,24,1,24,-1,-24
28,25,22,25,1,23,-1,-23
28,24,22,26,1,22,-1,-22
28,23,22,27,1,21,-1,-21
28,22,22,28,1,20,-1,-20
28,21,22,29,1,19,-1,-19
28,20,22,30,1,18,-1,-18
28,19,22,31,1,17,-1,-17
28,18,22,32,1,16,-1,-16
27,18,23,32,0,16,0,-16
27,17,23,33,0,15,0,-15
27,16,23,34,0,14,0,-14
27,15,23,35,0,13,0,-13
27,14,23,36,0,12,0,-12
27,13,23,37,0,11,0,-11
27,12,23,38,0,10,0,-10
27,11,23,39,0,9,0,-9
27,10,23,40,0,8,0,-8
27,9,23,41,0,7,0,-7
27,8,23,42,0,6,0,-6
27,7,23,43,0,5,0,-5
27,6,23,44,0,4,0,-4
27,5,23,45,0,3,0,-3
27,4,23,46,0,2,0,-2
27,3,23,47,0,1,0,-1
27,2,23,48,15,-20,-15,20
27,1,23,49,15,-21,-15,21
28,1,22,49,16,-21,-16,21
29,1,21,49,17,-21,-17,21
30,1,20,49,18,-21,-18,21
31,1,19,49,19,-21,-19,21
31,2,19,48,19,-20,-19,20
31,3,19,47,19,-19,-19,19
31,4,19,46,19,-18,-19,18
31,5,19,45,19,-17,-19,17
31,6,19,44,19,-16,-19,16
31,7,19,43,19,-15,-19,15
31,8,19,42,19,-14,-19,14
31,9,19,41,19,-13,-19,13
31,10,19,40,19,-12,-19,12
31,11,19,39,19,-11,-19,11
31,12,19,38,19,-10,-19,10
31,13,19,37,19,-9,-19,9
31,14,19,36,19,-8,-19,8
31,15,19,35,19,-7,-19,7
31,16,19,34,19,-6,-19,6
31,17,19,33,19,-5,-19,5
31,18,19,32,19,-4,-19,4
31,19,19,31,19,-3,-19,3
31,20,19,30,19,-2,-19,2
31,21,19,29,19,-1,-19,1
31,22,19,28,19,0,-19,0
31,23,19,27,19,1,-19,-1
30,23,20,27,18,1,-18,-1
29,23,21,27,17,1,-17,-1
28,23,22,27,16,1,-16,-1
27,23,23,27,15,1,-15,-1
26,23,24,27,14,1,-14,-1
25,23,25,27,13,1,-13,-1
24,23,26,27,12,1,-12,-1
23,23,27,27,11,1,-11,-1
22,23,28,27,10,1,-10,-1
21,23,29,27,9,1,-9,-1
20,23,30,27,8,1,-8,-1
19,23,31,27,7,1,-7,-1
18,23,32,27,6,1,-6,-1
17,23,33,27,5,1,-5,-1
16,23,34,27,4,1,-4,-1
15,23,35,27,3,1,-3,-1
15,22,35,28,3,0,-3,0
14,22,36,28,2,0,-2,0
13,22,37,28,1,0,-1,0
12,22,38,28,-33,18,33,-18
11,22,39,28,-34,18,34,-18
10,22,40,28,-35,18,35,-18
9,22,41,28,-36,18,36,-18
9,21,41,29,-36,17,36,-17
9,20,41,30,-36,16,36,-16
9,19,41,31,-36,15,36,-15
9,18,41,32,-36,14,36,-14
9,17,41,33,-36,13,36,-13
9,16,41,34,-36,12,36,-12
9,15,41,35,-36,11,36,-11
9,14,41,36,-36,10,36,-10
9,13,41,37,-36,9,36,-9
9,12,41,38,-36,8,36,-8
9,11,41,39,-36,7,36,-7
9,10,41,40,-36,6,36,-6
